name,artist,cluster,danceability,energy,acousticness,instrumentalness,valence,tempo
Make It Bun Dem                                                                                                                                                                  ,Skrillex                                        ,22,0.556,0.881,0.00119,0.0,0.337,104.973
Internet Friends                                                                                                                                                                 ,Knife Party                                     ,40,0.64,0.903,0.00105,0.0503,0.152,128.079
Decisions (feat. Miley Cyrus)                                                                                                                                                    ,Borgore                                         ,29,0.565,0.934,0.00361,2.29e-06,0.634,139.941
Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit)                                                                                                                      ,Kid Cudi                                        ,18,0.723,0.695,0.0105,0.00355,0.604,127.989
Heads Will Roll - A-Trak Remix                                                                                                                                                   ,Yeah Yeah Yeahs                                 ,16,0.738,0.607,0.00743,0.315,0.779,131.983
Memories (feat. Kid Cudi)                                                                                                                                                        ,David Guetta                                    ,34,0.546,0.916,0.00144,4.34e-06,0.375,129.983
Ladi Dadi (feat. Wynter Gordon)                                                                                                                                                  ,Steve Aoki                                      ,29,0.792,0.873,0.0354,4.32e-06,0.81,132.998
Cudi the Kid (feat. Kid Cudi & Travis Barker) (feat. Kid Cudi & Travis Barker)                                                                                                   ,Steve Aoki                                      ,18,0.538,0.855,0.112,0.000379,0.353,144.006
Professional Griefers                                                                                                                                                            ,deadmau5                                        ,30,0.729,0.486,8.93e-05,0.266,0.642,128.015
Louder Than Words (feat. Niles Mason) - Radio Edit                                                                                                                               ,David Guetta                                    ,41,0.585,0.839,0.0402,1.01e-05,0.535,127.981
Sweet Disposition (Axwell Mix)                                                                                                                                                   ,The Temper Trap                                 ,18,0.68,0.722,0.0216,0.474,0.354,127.994
Antidote - Radio Edit                                                                                                                                                            ,Swedish House Mafia                             ,11,0.648,0.859,0.00645,0.0282,0.633,128.03
Revolution - Radio Mix                                                                                                                                                           ,R3HAB                                           ,36,0.622,0.862,0.00991,0.0211,0.0472,127.967
All Night - Original Mix                                                                                                                                                         ,Tujamo                                          ,1,0.724,0.957,0.00291,0.239,0.418,127.981
We Like To Party                                                                                                                                                                 ,Showtek                                         ,0,0.571,0.909,0.000379,0.935,0.255,127.96
Who - Radio Edit                                                                                                                                                                 ,Tujamo                                          ,1,0.876,0.745,0.00386,0.887,0.349,124.983
Deep Down Low                                                                                                                                                                    ,Valentino Khan                                  ,18,0.794,0.896,0.00371,0.615,0.5,125.999
I'm an Albatraoz                                                                                                                                                                 ,AronChupa                                       ,12,0.883,0.817,0.601,0.00449,0.595,128.078
Red Lips (feat. Sam Bruno) - Skrillex Remix                                                                                                                                      ,Good Times Ahead                                ,27,0.528,0.983,0.000518,0.000324,0.141,144.981
Take Ü There (feat. Kiesza)                                                                                                                                                      ,Jack Ü                                          ,18,0.542,0.879,0.0523,0.0,0.118,159.888
Get Low                                                                                                                                                                          ,Dillon Francis                                  ,36,0.674,0.932,0.0282,0.71,0.728,101.033
Blow - Radio Edit                                                                                                                                                                ,Martin Solveig                                  ,11,0.766,0.922,0.0282,0.00874,0.617,128.008
Tung! - Radio Edit                                                                                                                                                               ,Deniz Koyu                                      ,36,0.7,0.954,0.00291,0.893,0.905,127.99
Booty Bounce - Radio Edit                                                                                                                                                        ,Tujamo                                          ,30,0.656,0.987,0.0225,0.388,0.554,127.993
Rave After Rave - Original Mix                                                                                                                                                   ,W&W                                             ,18,0.691,0.816,0.00203,0.0162,0.487,128.025
Kick out the Epic Motherfucker                                                                                                                                                   ,Dada Life                                       ,13,0.39,0.879,0.00144,0.0018,0.23,127.943
Cannonball (Earthquake) - Radio Mix                                                                                                                                              ,Showtek                                         ,2,0.645,0.937,0.0259,0.155,0.698,127.968
Turn Up The Speakers - Original Mix                                                                                                                                              ,Afrojack                                        ,13,0.757,0.895,0.0167,0.94,0.29,128.017
Helicopter - Video Edit                                                                                                                                                          ,Martin Garrix                                   ,18,0.584,0.96,0.0104,0.516,0.165,128.003
You're Gonna Love Again                                                                                                                                                          ,NERVO                                           ,7,0.408,0.894,0.0111,0.0172,0.275,125.976
Leave The World Behind - Radio Edit                                                                                                                                              ,Axwell                                          ,18,0.525,0.849,0.00232,0.00196,0.277,128.055
Rapture - Avicii New Generation Mix                                                                                                                                              ,Nadia Ali                                       ,18,0.558,0.934,0.0185,0.21,0.385,130.008
Sunrise (Won't Get Lost) - Tommy Trash Radio Edit                                                                                                                                ,The Aston Shuffle                               ,18,0.6,0.949,0.0857,0.000108,0.466,127.021
Starlight (Could You Be Mine) - Radio Edit                                                                                                                                       ,Don Diablo                                      ,18,0.671,0.688,0.0187,1.06e-05,0.154,128.018
Chemicals (feat. Thomas Troelsen)                                                                                                                                                ,Tiësto                                          ,18,0.529,0.955,0.0344,4.55e-05,0.0893,125.988
Superlove (Avicii vs. Lenny Kravitz) - Radio Edit                                                                                                                                ,Avicii                                          ,16,0.601,0.951,0.271,0.84,0.968,127.959
Alive (Radio Edit) [feat. Kate Elsworth]                                                                                                                                         ,Dirty South                                     ,18,0.634,0.682,0.00655,0.000997,0.311,127.985
Sending My Love - Afrojack Edit                                                                                                                                                  ,R3HAB                                           ,13,0.547,0.949,0.00221,0.546,0.0943,127.966
Perfect Storm - Radio Edit                                                                                                                                                       ,Made In June                                    ,29,0.618,0.735,0.0191,7.46e-06,0.306,128.036
Beam Me Up - Radio Edit                                                                                                                                                          ,CAZZETTE                                        ,1,0.568,0.867,0.00876,2.87e-06,0.357,125.98
Helium (feat. Jareth) - Radio Edit                                                                                                                                               ,Chris Lake                                      ,29,0.616,0.884,4.77e-05,0.000495,0.624,129.958
Language - UK Edit                                                                                                                                                               ,Porter Robinson                                 ,18,0.537,0.662,0.085,0.0158,0.307,128.086
Gold Skies                                                                                                                                                                       ,Sander van Doorn                                ,29,0.56,0.833,0.0041,0.0778,0.217,128.0
Break Through The Silence - Radio Edit                                                                                                                                           ,Martin Garrix                                   ,28,0.573,0.95,0.00289,0.00119,0.153,128.013
Turn It Down (with Rebecca & Fiona) - Radio Edit                                                                                                                                 ,Kaskade                                         ,29,0.509,0.669,0.0536,0.00835,0.413,126.971
Niton (The Reason) - Radio Edit                                                                                                                                                  ,Eric Prydz                                      ,1,0.436,0.945,0.000651,0.18,0.361,127.965
Llove (Dada Life Remix)                                                                                                                                                          ,PMZ                                             ,29,0.582,0.908,0.00353,0.0464,0.0628,127.932
Stars Troll - Radio Edit                                                                                                                                                         ,Kaskade                                         ,15,0.511,0.917,0.00779,0.009,0.183,127.984
Feed The Dada                                                                                                                                                                    ,Dada Life                                       ,12,0.715,0.902,0.00543,0.0,0.441,128.037
Feet On The Ground                                                                                                                                                               ,Nicky Romero                                    ,29,0.656,0.884,0.215,0.0,0.366,126.012
Ode to the Bouncer                                                                                                                                                               ,Studio Killers                                  ,11,0.638,0.973,0.0468,0.000303,0.864,122.998
Hungry Hearts - Radio Edit                                                                                                                                                       ,Nause                                           ,28,0.651,0.82,0.0102,0.00601,0.377,127.956
Mash! - Original Radio Edit                                                                                                                                                      ,Picco                                           ,36,0.708,0.862,0.0114,0.00652,0.833,130.063
Made Of - Chuckie Dub Remix                                                                                                                                                      ,Nause                                           ,18,0.694,0.94,0.000238,0.161,0.427,127.096
My Feeling - Deniz Koyu Remix Edit                                                                                                                                               ,Yenson                                          ,16,0.666,0.797,0.00647,0.00201,0.791,128.006
Lies (Otto Knows Remix)                                                                                                                                                          ,BURNS                                           ,30,0.714,0.718,0.0319,0.0126,0.399,128.008
Burn the Disco - Radio Edit                                                                                                                                                      ,Felix Da Housecat feat. will.i.am               ,1,0.628,0.88,0.188,0.000322,0.237,125.985
Faith - Radio Edit                                                                                                                                                               ,Blasterjaxx                                     ,30,0.665,0.671,0.00726,0.0025,0.599,127.946
Pyramids                                                                                                                                                                         ,DVBBS                                           ,28,0.674,0.955,0.000188,0.0379,0.231,128.042
Lost                                                                                                                                                                             ,Sander van Doorn                                ,29,0.392,0.912,0.00411,0.000632,0.318,128.245
Walk Away                                                                                                                                                                        ,Tony Junior                                     ,18,0.66,0.853,0.0517,0.0756,0.507,128.007
Lose Control - Radio Mix                                                                                                                                                         ,Ummet Ozcan                                     ,29,0.626,0.979,0.0112,0.24,0.35,128.065
Pilot - Mix Cut                                                                                                                                                                  ,Julian Jordan                                   ,12,0.662,0.975,0.000361,0.00503,0.181,127.954
Satisfaction Alarm - Hardwell Mashup Mix Cut                                                                                                                                     ,Benny Benassi                                   ,27,0.563,0.996,0.000371,0.23,0.396,128.002
Bazaar (Official Sunburn Goa 2015 Anthem)                                                                                                                                        ,KSHMR                                           ,18,0.582,0.979,0.125,0.00152,0.196,128.01
Mad World - Bomb A Drop - Mix Cut                                                                                                                                                ,Hardwell                                        ,1,0.642,0.961,0.00176,0.00709,0.151,127.976
Savannah - Original Mix                                                                                                                                                          ,Sandëro                                         ,6,0.762,0.837,0.00176,0.946,0.253,128.009
Joyenergizer - Original Mix                                                                                                                                                      ,Sander van Doorn                                ,12,0.791,0.981,0.00306,0.0415,0.0588,127.998
Dynamo - Original Mix                                                                                                                                                            ,Laidback Luke                                   ,32,0.644,0.906,0.00393,0.945,0.0976,129.001
Spank - Radio Edit                                                                                                                                                               ,The Bloody Beetroots                            ,6,0.499,0.923,0.00219,0.757,0.204,129.033
Recess                                                                                                                                                                           ,Skrillex                                        ,29,0.658,0.93,0.0236,0.0,0.132,104.018
Paris                                                                                                                                                                            ,David Guetta                                    ,1,0.671,0.935,0.0143,0.831,0.16,129.987
SLVR                                                                                                                                                                             ,Steve Angello                                   ,32,0.659,0.619,0.00458,0.972,0.119,128.015
Astronomia                                                                                                                                                                       ,Vicetone                                        ,8,0.653,0.945,0.00561,0.915,0.325,126.093
The Fusion                                                                                                                                                                       ,Omnia                                           ,7,0.553,0.922,0.000229,0.000463,0.28,129.009
The Alphabeat                                                                                                                                                                    ,David Guetta                                    ,13,0.384,0.823,0.0301,0.161,0.156,121.975
The Veldt - Radio Edit                                                                                                                                                           ,deadmau5                                        ,11,0.736,0.759,0.0573,0.207,0.485,128.041
"The Island, Pt. I (Dawn)                                                                                                                                                       ",Pendulum                                        ,18,0.578,0.893,6.15e-05,0.00629,0.373,126.018
Midnight City - Eric Prydz Private Remix                                                                                                                                         ,M83                                             ,33,0.541,0.854,0.00145,0.695,0.351,125.021
Hardcore Vibes - Radio Edit                                                                                                                                                      ,Global Deejays                                  ,1,0.707,0.892,0.000848,0.000771,0.286,128.015
Freakin' Out - Original Edit                                                                                                                                                     ,Global Deejays                                  ,11,0.768,0.801,0.000178,0.0102,0.66,127.973
Nein Mann - Radio Edit                                                                                                                                                           ,Laserkraft 3D                                   ,12,0.921,0.633,0.0212,0.021,0.72,127.965
Without The Sun - Extended Club Mix                                                                                                                                              ,Dash Berlin                                     ,18,0.578,0.935,0.0252,0.0,0.346,125.954
Collide (feat. David Spekter)                                                                                                                                                    ,Blasterjaxx                                     ,13,0.568,0.896,0.00116,2.42e-06,0.0756,126.969
Into The Fire (feat. Anjulie)                                                                                                                                                    ,VINAI                                           ,1,0.644,0.821,0.0102,2.95e-06,0.15,105.016
Dark River - Bonus Track                                                                                                                                                         ,Sebastian Ingrosso                              ,16,0.782,0.699,0.0334,0.000352,0.699,126.037
Only for Your Love                                                                                                                                                               ,Nicky Romero                                    ,1,0.635,0.687,0.000183,0.0648,0.193,127.977
Dragon - Radio Edit                                                                                                                                                              ,Martin Garrix                                   ,33,0.513,0.917,0.00543,0.816,0.145,128.024
Whatcha Need                                                                                                                                                                     ,W&W                                             ,29,0.393,0.94,0.0663,0.00264,0.297,129.958
Soldier                                                                                                                                                                          ,Blasterjaxx                                     ,7,0.562,0.799,0.00382,0.00514,0.0522,127.912
Wildcard (feat. Sidnie Tipton)                                                                                                                                                   ,KSHMR                                           ,7,0.594,0.834,0.0998,0.0,0.473,127.935
Barricade - Radio Edit                                                                                                                                                           ,Axwell                                          ,28,0.736,0.966,0.000642,0.0564,0.0751,128.033
Make up Your Mind                                                                                                                                                                ,Martin Garrix                                   ,6,0.688,0.887,0.000816,0.778,0.0399,126.029
Invisible Children                                                                                                                                                               ,KSHMR                                           ,1,0.624,0.984,0.00354,0.33,0.0598,128.092
Wake Up The Sun                                                                                                                                                                  ,Ummet Ozcan                                     ,18,0.604,0.965,0.00286,0.0023,0.0615,127.965
Inside Your Arm                                                                                                                                                                  ,Kaz James                                       ,18,0.56,0.877,9e-05,0.132,0.392,124.998
All Night                                                                                                                                                                        ,Julian Jordan                                   ,18,0.764,0.939,0.0057,0.21,0.0582,128.007
Strong                                                                                                                                                                           ,R3HAB                                           ,7,0.448,0.856,0.0211,2e-05,0.511,127.977
Kwango (There for You) [feat. Anavi] - Radio Edit                                                                                                                                ,Micha Moor                                      ,29,0.397,0.99,0.019,0.193,0.734,127.885
Tremor - Sensation 2014 Anthem                                                                                                                                                   ,Dimitri Vegas & Like Mike                       ,36,0.63,0.943,0.000328,0.726,0.409,127.976
Tiger                                                                                                                                                                            ,R3HAB                                           ,1,0.662,0.877,0.00193,0.00644,0.441,127.994
Toca (feat. Timmy Trumpet & KSHMR)                                                                                                                                               ,Carnage                                         ,1,0.851,0.462,0.00569,0.816,0.185,128.032
No Heroes (feat. Luciana)                                                                                                                                                        ,Firebeatz                                       ,18,0.725,0.877,0.00365,0.181,0.411,127.992
Payback                                                                                                                                                                          ,Dimitri Vangelis & Wyman                        ,29,0.637,0.827,0.046,0.103,0.339,128.025
Make It Right                                                                                                                                                                    ,Lucas & Steve                                   ,29,0.669,0.975,0.0703,8.46e-05,0.374,126.06
Calavera - Mix Cut                                                                                                                                                               ,Hardwell                                        ,1,0.697,0.928,0.0115,0.00756,0.118,128.029
White Rabbit (feat. Pep & Rash)                                                                                                                                                  ,Sander van Doorn                                ,18,0.629,0.929,0.00042,0.00912,0.7,125.998
After Life (feat. Stacy Barthe)                                                                                                                                                  ,Tchami                                          ,1,0.604,0.903,0.000176,0.53,0.078,125.989
Breakn' a Sweat                                                                                                                                                                  ,Skrillex                                        ,29,0.596,0.921,0.0049,0.00019,0.232,139.969
My Feelings for You - Radio Edit                                                                                                                                                 ,Avicii                                          ,29,0.628,0.98,0.0171,0.0866,0.303,128.078
Bonfire                                                                                                                                                                          ,Knife Party                                     ,47,0.536,0.944,0.000117,0.00345,0.589,174.031
Northern Soul                                                                                                                                                                    ,Above & Beyond                                  ,7,0.569,0.542,0.0299,0.000188,0.105,127.977
What Happens in Vegas - Radio Edit                                                                                                                                               ,Chuckie feat. Gregor Salto                      ,11,0.722,0.924,0.000342,0.628,0.679,129.991
Clap Your Hands                                                                                                                                                                  ,David Guetta                                    ,28,0.673,0.957,0.0114,0.127,0.336,128.004
What I Did for Love (feat. Emeli Sandé)                                                                                                                                          ,David Guetta                                    ,1,0.494,0.721,0.107,0.0,0.356,128.1
Forbidden Voices                                                                                                                                                                 ,Martin Garrix                                   ,18,0.534,0.711,0.05,0.0031,0.3,128.102
You Make Me                                                                                                                                                                      ,Avicii                                          ,28,0.586,0.727,0.00247,0.0107,0.496,124.99
Lions in the Wild                                                                                                                                                                ,Third Party                                     ,36,0.502,0.85,0.00418,0.0,0.286,127.852
Dovregubben                                                                                                                                                                      ,Zedd                                            ,28,0.898,0.788,0.000406,0.523,0.176,128.023
Sun Is Never Going Down (feat. Dawn Golden)                                                                                                                                      ,Martin Garrix                                   ,7,0.506,0.726,0.00308,8.05e-05,0.266,128.044
Hey Now (feat. Kyle)                                                                                                                                                             ,Martin Solveig                                  ,30,0.712,0.957,0.00552,1.8e-06,0.703,128.035
Can't Feel My Face - Martin Garrix Remix                                                                                                                                         ,The Weeknd                                      ,18,0.608,0.722,0.00791,2.84e-05,0.121,128.009
Blessed - Avicii Radio Edit                                                                                                                                                      ,Tom Hangs                                       ,18,0.619,0.906,0.0315,0.156,0.557,125.981
Hot Right Now - Radio Edit                                                                                                                                                       ,DJ Fresh                                        ,7,0.524,0.972,0.00656,0.00058,0.476,175.017
Don't Blame The Party (Mode)                                                                                                                                                     ,Bingo Players                                   ,7,0.599,0.751,0.0028,0.000123,0.227,126.941
212                                                                                                                                                                              ,Azealia Banks                                   ,41,0.83,0.768,0.0117,0.00017,0.631,125.972
Rock The House                                                                                                                                                                   ,Afrojack                                        ,0,0.69,0.841,0.0178,0.79,0.539,130.052
We'll Be Coming Back (feat. Example)                                                                                                                                             ,Calvin Harris                                   ,13,0.596,0.952,0.00131,0.0,0.571,127.945
Love Has Gone                                                                                                                                                                    ,Netsky                                          ,7,0.383,0.924,0.000374,0.379,0.239,173.088
Stellar                                                                                                                                                                          ,Daddy's Groove                                  ,18,0.552,0.842,0.016,0.00029,0.316,127.994
Sovereign Light Café - Afrojack Remix                                                                                                                                            ,Keane                                           ,18,0.615,0.835,0.206,9.42e-06,0.4,128.064
"Watch out for This (Bumaye) [feat. Busy Signal, the Flexican & Fs Green]                                                                                                       ",Major Lazer                                     ,35,0.817,0.754,0.0193,6.69e-06,0.86,107.999
Where We Belong                                                                                                                                                                  ,Fedde Le Grand                                  ,18,0.532,0.804,0.0223,0.000593,0.383,128.004
Dare You - Radio Edit                                                                                                                                                            ,Hardwell                                        ,28,0.457,0.89,0.0165,0.0,0.19,127.877
Shotgun - Radio Edit                                                                                                                                                             ,Yellow Claw                                     ,28,0.677,0.898,0.00595,0.0203,0.248,144.887
Stay The Night - featuring Hayley Williams of Paramore                                                                                                                           ,Zedd                                            ,28,0.607,0.74,0.101,0.0,0.474,127.955
Ping Pong                                                                                                                                                                        ,Armin van Buuren                                ,18,0.566,0.935,0.00192,0.333,0.554,130.01
Knock You Out                                                                                                                                                                    ,Bingo Players                                   ,13,0.631,0.763,0.0301,0.0,0.516,128.075
Boneless                                                                                                                                                                         ,Steve Aoki                                      ,29,0.743,0.962,0.00445,0.613,0.643,127.99
Young Again - Radio Edit                                                                                                                                                         ,Hardwell                                        ,13,0.558,0.81,0.0499,0.0,0.282,128.966
Sally                                                                                                                                                                            ,Hardwell                                        ,7,0.633,0.897,0.00108,0.000113,0.441,127.982
I Want You To Know                                                                                                                                                               ,Zedd                                            ,18,0.58,0.846,0.00537,6.62e-06,0.366,129.998
On My Way                                                                                                                                                                        ,Axwell /\ Ingrosso                              ,1,0.642,0.828,0.0679,6.8e-05,0.332,127.99
Escape (Into The Sunset) - Radio Mix                                                                                                                                             ,Quintino                                        ,13,0.567,0.803,0.00814,0.000101,0.172,127.998
Beautiful Now                                                                                                                                                                    ,Zedd                                            ,18,0.628,0.833,0.0079,1.48e-05,0.56,128.003
JAMMU - Original Mix                                                                                                                                                             ,KSHMR                                           ,7,0.641,0.633,0.00414,0.0116,0.152,128.013
L'Amour Toujours - Tiësto Edit                                                                                                                                                   ,Dzeko & Torres                                  ,1,0.591,0.931,0.00763,0.000216,0.17,129.975
Heaven - Radio Edit                                                                                                                                                              ,Shaun Frank                                     ,18,0.677,0.929,0.0444,0.228,0.205,126.019
Bludfire                                                                                                                                                                         ,Eva Simons                                      ,18,0.394,0.81,0.00111,0.0,0.333,150.012
Mantra - Axwell Cut                                                                                                                                                              ,Michael Feiner                                  ,13,0.83,0.855,0.0111,0.923,0.437,125.017
Love On My Mind                                                                                                                                                                  ,Lucas & Steve                                   ,29,0.553,0.914,0.0377,0.00577,0.427,124.007
Byte                                                                                                                                                                             ,Martin Garrix                                   ,18,0.597,0.931,0.000636,0.821,0.267,128.031
12 Inch - Dave Darell Mix                                                                                                                                                        ,Dave Darell                                     ,30,0.808,0.88,0.00627,0.544,0.527,128.012
Lights Out - Go Crazy                                                                                                                                                            ,Junior Caldera                                  ,5,0.665,0.893,0.0321,3.61e-05,0.813,127.959
Oh My - Club Mix                                                                                                                                                                 ,The Partysquad                                  ,28,0.587,0.784,0.00749,0.0126,0.131,139.983
FLAGS!                                                                                                                                                                           ,Sebastian Ingrosso                              ,30,0.76,0.914,0.0171,0.058,0.59,124.979
I Think I Like It                                                                                                                                                                ,Fake Blood                                      ,7,0.68,0.823,0.0869,0.0017,0.587,128.086
Dr. Who! - UK Radio Edit                                                                                                                                                         ,Tujamo                                          ,5,0.821,0.843,0.0167,0.000189,0.811,124.912
Won't Stop Rocking                                                                                                                                                               ,R3HAB                                           ,18,0.593,0.869,0.0945,0.00428,0.173,128.003
Electric Elephants                                                                                                                                                               ,Jay Hardway                                     ,18,0.588,0.927,0.00293,0.403,0.254,127.946
Drop That Low (When I Dip)                                                                                                                                                       ,Tujamo                                          ,34,0.586,0.896,0.00945,0.836,0.103,125.744
The Only Way Is Up                                                                                                                                                               ,Martin Garrix                                   ,0,0.597,0.736,0.00296,0.921,0.172,128.179
Dancin (feat. Luvli) - Krono Remix                                                                                                                                               ,Aaron Smith                                     ,18,0.72,0.741,0.101,1.41e-05,0.357,119.896
Bomb A Drop                                                                                                                                                                      ,Garmiani                                        ,29,0.675,0.992,0.0022,0.221,0.483,128.034
Step By Step - Big Room Mix                                                                                                                                                      ,Laidback Luke                                   ,29,0.648,0.875,0.000747,0.787,0.391,128.004
A Little More (feat. Sansa)                                                                                                                                                      ,Kaskade                                         ,18,0.425,0.742,0.00772,0.00077,0.215,127.978
Lessons In Love - Headhunterz Remix Radio Edit                                                                                                                                   ,Kaskade                                         ,18,0.47,0.893,0.073,0.00297,0.6,149.898
