name,artist,cluster,danceability,energy,acousticness,instrumentalness,valence,tempo
Água de beber                                                                                                                                                                    ,Tania Maria                                     ,23,0.771,0.555,0.871,0.422,0.553,98.094
Mama África                                                                                                                                                                      ,Chico César                                     ,39,0.676,0.469,0.648,0.0,0.885,163.709
Á Primeira Vista                                                                                                                                                                 ,Chico César                                     ,39,0.542,0.148,0.782,0.0,0.248,89.585
Tambores                                                                                                                                                                         ,Chico César                                     ,39,0.598,0.278,0.72,0.000161,0.567,125.032
Guarda-me A Vida Na Mão                                                                                                                                                          ,Ana Moura                                       ,25,0.482,0.136,0.946,0.000762,0.26,135.574
A Prosa Impúrpura do Caicó                                                                                                                                                       ,Chico César                                     ,39,0.505,0.209,0.849,0.0094,0.503,135.836
Paraíba                                                                                                                                                                          ,Chico César                                     ,39,0.569,0.186,0.959,0.137,0.536,84.091
Berekerê - Voice                                                                                                                                                                 ,Geraldo Azevedo                                 ,25,0.434,0.573,0.83,0.0,0.786,172.189
Pagode da Saidera                                                                                                                                                                ,Martinho Da Vila                                ,4,0.584,0.792,0.723,1.34e-06,0.938,103.671
Disfarça e Chora                                                                                                                                                                 ,Djavan                                          ,23,0.747,0.185,0.905,0.0172,0.588,151.833
Tudo isto é fado                                                                                                                                                                 ,Quatro Ventos                                   ,23,0.405,0.317,0.9,4.08e-05,0.315,139.316
Quando Te Vi                                                                                                                                                                     ,Luisa Sobral                                    ,23,0.543,0.129,0.97,0.0133,0.353,134.502
Sr. Vinho                                                                                                                                                                        ,Luisa Sobral                                    ,37,0.348,0.337,0.816,0.000811,0.398,192.711
Inês                                                                                                                                                                             ,Luisa Sobral                                    ,21,0.462,0.0827,0.965,0.000489,0.224,135.193
Seja Agora                                                                                                                                                                       ,Deolinda                                        ,4,0.665,0.783,0.832,0.0,0.831,98.179
Algo Novo                                                                                                                                                                        ,Deolinda                                        ,42,0.83,0.431,0.863,2.26e-05,0.506,131.959
Pois Foi                                                                                                                                                                         ,Deolinda                                        ,31,0.459,0.254,0.947,0.00602,0.494,79.85
Há-De Passar                                                                                                                                                                     ,Deolinda                                        ,42,0.776,0.347,0.961,0.000404,0.51,123.28
Xico                                                                                                                                                                             ,Luisa Sobral                                    ,47,0.442,0.56,0.47,1.53e-05,0.622,179.643
O Engraxador                                                                                                                                                                     ,Luisa Sobral                                    ,23,0.725,0.293,0.826,0.000479,0.343,105.045
Clandestino                                                                                                                                                                      ,Chico César                                     ,39,0.635,0.398,0.717,4.49e-06,0.504,172.19
Trem das Onze                                                                                                                                                                    ,Demonios Da Garoa                               ,31,0.566,0.424,0.557,7.03e-06,0.679,91.649
Chove Chuva                                                                                                                                                                      ,Jorge Ben Jor                                   ,23,0.714,0.451,0.584,0.0,0.514,134.969
Menina Mulher Da Pele Preta                                                                                                                                                      ,Jorge Ben Jor                                   ,31,0.591,0.557,0.648,0.0486,0.979,135.65
Agua De Beber                                                                                                                                                                    ,Astrud Gilberto                                 ,31,0.645,0.357,0.426,0.0,0.86,147.846
Agua De Beber                                                                                                                                                                    ,Sophie Milman                                   ,11,0.66,0.759,0.243,0.00227,0.7,94.477
Lá Vem O Brasil Descendo A Ladeira                                                                                                                                               ,Moraes Moreira                                  ,16,0.677,0.94,0.387,0.0,0.824,166.501
Amiga Da Minha Mulher                                                                                                                                                            ,Seu Jorge                                       ,16,0.788,0.916,0.714,0.0,0.829,104.015
O Leãozinho                                                                                                                                                                      ,Caetano Veloso                                  ,42,0.57,0.16,0.896,1.39e-05,0.56,126.564
Já Sei Namorar - 2004 Digital Remaster                                                                                                                                           ,Tribalistas                                     ,16,0.67,0.822,0.67,0.00115,0.833,145.56
Coração Vagabundo                                                                                                                                                                ,Gal Costa                                       ,43,0.577,0.312,0.785,0.0976,0.372,80.698
Fotografia                                                                                                                                                                       ,Vanessa Da Mata                                 ,31,0.715,0.309,0.733,0.00455,0.563,98.071
Fotografia                                                                                                                                                                       ,João Gilberto                                   ,37,0.437,0.197,0.958,3.84e-05,0.542,133.717
"Rosa, Menina Rosa                                                                                                                                                              ",Jorge Ben Jor                                   ,2,0.584,0.641,0.376,0.0,0.732,96.264
Fado Toninho                                                                                                                                                                     ,Deolinda                                        ,42,0.692,0.21,0.865,0.0,0.743,77.878
Mal Por Mal                                                                                                                                                                      ,Deolinda                                        ,42,0.645,0.267,0.623,0.000725,0.389,146.339
Violão Vadio                                                                                                                                                                     ,Raphael Rabello                                 ,9,0.364,0.0884,0.927,0.645,0.152,89.235
Chorinho Pra Voce                                                                                                                                                                ,Paulo Moura                                     ,25,0.654,0.4,0.784,0.799,0.85,106.451
Chorando Baixinho                                                                                                                                                                ,Raphael Rabello                                 ,25,0.492,0.102,0.916,0.0222,0.573,205.863
Samba da Bênção                                                                                                                                                                  ,Maria Bethânia                                  ,24,0.597,0.549,0.372,0.000923,0.866,159.381
Acabou Chorare                                                                                                                                                                   ,Sílvia Pérez Cruz                               ,42,0.59,0.148,0.974,0.0134,0.292,100.663
Ui! (Voce Inventa)                                                                                                                                                               ,Tom Zé                                          ,42,0.747,0.15,0.588,6.19e-05,0.817,84.132
"Augusta, Angélica e Consolação                                                                                                                                                 ",Tom Zé                                          ,4,0.656,0.375,0.699,3.62e-06,0.83,137.981
Todos os olhos                                                                                                                                                                   ,Tom Zé                                          ,4,0.816,0.416,0.663,7.07e-05,0.933,124.823
Vai (Menina amanhã de manhã)                                                                                                                                                     ,Tom Zé                                          ,4,0.671,0.63,0.885,0.0,0.794,127.645
